mode,speech_end_time_ns,response_start_time_ns,response_latency_ms,model_confidence,permission_granted,cancelled_by_vad,event_timestamp_ns,tts_timestamp_ns,tts_synthesis_time_s
baseline,1777450795681157700,1777450796418775200,737.6175,0.2776090204715729,True,False,1777450796418775200,1777450797019136700,4.493365199999971
baseline,1777450810656120000,1777450811404645800,748.5258,0.2656501233577728,True,False,1777450811404645800,1777450811529617400,8.277442599999631
baseline,1777450832940427900,1777450833716939700,776.5118,0.2712060809135437,True,False,1777450833716939700,1777450834182752800,10.295761299999867
baseline,1777450852540523700,1777450853316345400,775.8217,0.2678789496421814,True,False,1777450853316345400,1777450853551367000,11.598520900000949
baseline,1777450871695466000,1777450872485659700,790.1937,0.3324414789676666,True,False,1777450872485659700,1777450873016409000,10.436733499998809
baseline,1777450885009924400,1777450885806290500,796.3661,0.2831604778766632,True,False,1777450885806290500,1777450885806290500,5.2601174999999785
baseline,1777450899009867100,1777450899789994800,780.1277,0.2807503044605255,True,False,1777450899789994800,1777450900467947900,7.359190900000613
baseline,1777450919512816700,1777450920290657600,777.8409,0.2677226960659027,True,False,1777450920290657600,1777450920396809100,10.400241999999707
baseline,1777450934337160000,1777450935070795400,733.6354,0.25802475214004517,True,False,1777450935070795400,1777450935758282500,6.936155100000178
baseline,1777450940604856900,1777450941431075800,826.2189,0.25657764077186584,True,False,1777450941431075800,1777450941567106100,0.9679995999995299
gaze,1777450279479351800,1777450280061064100,581.7123,0.26504620909690857,True,False,1777450280061064100,1777450280354168300,4.532497600001079
gaze,1777450295806739500,1777450296383972700,577.2332,0.26761728525161743,True,False,1777450296383972700,1777450296481995000,9.709321500000442
gaze,1777450311533415700,1777450312129660500,596.2448,0.27728283405303955,True,False,1777450312129660500,1777450312390235400,8.664408000000549
gaze,1777450331116130500,1777450331838176100,722.0456,0.27143344283103943,True,False,1777450331838176100,1777450332128475100,11.309675700000298
gaze,1777450347470080500,1777450348082671200,612.5907,0.2566887438297272,True,False,1777450348082671200,1777450348639235100,9.958460699999705
gaze,1777450357533140600,1777450358145177300,612.0367,0.25051721930503845,True,False,1777450358145177300,1777450358598808700,4.209516999999323
gaze,1777450371805321400,1777450372397360200,592.0388,0.26442986726760864,True,False,1777450372397360200,1777450372869104600,7.948114599999826
gaze,1777450386836952200,1777450387441159900,604.2077,0.2677623927593231,True,False,1777450387441159900,1777450387625204700,8.580197100000078
gaze,1777450401525768600,1777450402077026700,551.2581,0.27250415086746216,True,False,1777450402077026700,1777450402628592600,7.7775010999994265
gaze,1777450408825492000,1777450409380433000,554.941,0.25390180945396423,True,False,1777450409380433000,1777450409721525600,2.0971116999990045
